:START_ID(Process),:END_ID(File)
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\msvcp140_atomic_wait.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\msvcp140_codecvt_ids.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\nh.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\olk.exe
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\olkBg.exe
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\olkFullTrustExecutor.exe
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\olkPushNotificationBackgroundTask.exe
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\olkmain.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\olknh.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\relaunchNativeHost.exe
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\vcruntime140.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\vcruntime140_1.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\win32gql.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\xpdAgent.exe
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\xpdApi.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\zip.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.702.0_x64__8wekyb3d8bbwe\zlib1.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettings.exe
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\WindowsAdvancedSettings.exe
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\bg-BG\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\ca-ES\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\cs-CZ\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\da-DK\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\de-DE\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\el-GR\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\es-ES\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\et-EE\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\eu-ES\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\fi-FI\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\fr-FR\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\gl-ES\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\hi-IN\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\hr-HR\WindowsAdvancedSettings.resources.dll
